ID;TARGET
ID00001;3.0
ID00002;2.0
ID00003;2.0
ID00004;3.0
ID00005;3.0
ID00006;2.0
ID00007;2.0
ID00008;2.0
ID00009;2.0
ID00010;3.0
ID00011;3.0
ID00012;2.0
ID00013;2.0
ID00014;4.0
ID00015;3.0
ID00016;4.0
ID00017;4.0
ID00018;4.0
ID00019;4.0
ID00020;3.0
ID00021;2.0
ID00022;2.0
ID00023;2.0
ID00024;3.0
ID00025;3.0
ID00026;0.0
ID00027;4.0
ID00028;3.0
ID00029;4.0
ID00030;3.0
ID00031;2.0
ID00032;2.0
ID00033;2.0
ID00034;2.0
ID00035;2.0
ID00036;3.0
ID00037;3.0
ID00038;3.0
ID00039;4.0
ID00040;4.0
ID00041;3.0
ID00042;2.0
ID00043;3.0
ID00044;2.0
ID00045;3.0
ID00046;3.0
ID00047;4.0
ID00048;2.0
ID00049;3.0
ID00050;2.0
ID00051;2.0
ID00052;2.0
ID00053;3.0
ID00054;3.0
ID00055;3.0
ID00056;2.0
ID00057;4.0
ID00058;2.0
ID00059;2.0
ID00060;3.0
ID00061;2.0
ID00062;4.0
ID00063;2.0
ID00064;3.0
ID00065;3.0
ID00066;0.0
ID00067;3.0
ID00068;0.0
ID00069;2.0
ID00070;2.0
ID00071;3.0
ID00072;0.0
ID00073;3.0
ID00074;3.0
ID00075;2.0
ID00076;4.0
ID00077;3.0
ID00078;2.0
ID00079;3.0
ID00080;3.0
ID00081;2.0
ID00082;3.0
ID00083;2.0
ID00084;2.0
ID00085;3.0
ID00086;3.0
ID00087;3.0
ID00088;2.0
ID00089;3.0
ID00090;3.0
ID00091;2.0
ID00092;3.0
ID00093;0.0
ID00094;2.0
ID00095;2.0
ID00096;2.0
ID00097;3.0
ID00098;1.0
ID00099;2.0
ID00100;3.0
ID00101;2.0
ID00102;2.0
ID00103;2.0
ID00104;3.0
ID00105;4.0
ID00106;3.0
ID00107;0.0
ID00108;3.0
ID00109;2.0
ID00110;3.0
ID00111;3.0
ID00112;4.0
ID00113;2.0
ID00114;3.0
ID00115;2.0
ID00116;4.0
ID00117;3.0
ID00118;2.0
ID00119;3.0
ID00120;4.0
ID00121;2.0
ID00122;2.0
ID00123;3.0
ID00124;3.0
ID00125;4.0
ID00126;4.0
ID00127;2.0
ID00128;2.0
ID00129;2.0
ID00130;2.0
ID00131;2.0
ID00132;0.0
ID00133;0.0
ID00134;2.0
ID00135;3.0
ID00136;2.0
ID00137;2.0
ID00138;3.0
ID00139;3.0
ID00140;3.0
ID00141;2.0
ID00142;2.0
ID00143;3.0
ID00144;2.0
ID00145;2.0
ID00146;2.0
ID00147;3.0
ID00148;3.0
ID00149;2.0
ID00150;2.0
ID00151;4.0
ID00152;3.0
ID00153;2.0
ID00154;2.0
ID00155;2.0
ID00156;3.0
ID00157;4.0
ID00158;0.0
ID00159;2.0
ID00160;2.0
ID00161;3.0
ID00162;2.0
ID00163;2.0
ID00164;4.0
ID00165;2.0
ID00166;3.0
ID00167;2.0
ID00168;3.0
ID00169;3.0
ID00170;2.0
ID00171;2.0
ID00172;4.0
ID00173;2.0
ID00174;4.0
ID00175;3.0
ID00176;4.0
ID00177;3.0
ID00178;3.0
ID00179;3.0
ID00180;4.0
ID00181;0.0
ID00182;2.0
ID00183;3.0
ID00184;3.0
ID00185;3.0
ID00186;3.0
ID00187;1.0
ID00188;2.0
ID00189;2.0
ID00190;3.0
ID00191;2.0
ID00192;3.0
ID00193;4.0
ID00194;3.0
ID00195;2.0
ID00196;2.0
ID00197;2.0
ID00198;2.0
ID00199;2.0
ID00200;2.0
ID00201;4.0
ID00202;3.0
ID00203;0.0
ID00204;4.0
ID00205;3.0
ID00206;2.0
ID00207;3.0
ID00208;4.0
ID00209;4.0
ID00210;2.0
ID00211;2.0
ID00212;3.0
ID00213;4.0
ID00214;4.0
