ID,TARGET
ID00001,2.0
ID00002,2.0
ID00003,4.0
ID00004,4.0
ID00005,3.0
ID00006,4.0
ID00007,2.0
ID00008,2.0
ID00009,2.0
ID00010,2.0
ID00011,3.0
ID00012,2.0
ID00013,2.0
ID00014,2.0
ID00015,2.0
ID00016,2.0
ID00017,2.0
ID00018,4.0
ID00019,2.0
ID00020,2.0
ID00021,4.0
ID00022,3.0
ID00023,4.0
ID00024,2.0
ID00025,3.0
ID00026,2.0
ID00027,3.0
ID00028,4.0
ID00029,3.0
ID00030,2.0
ID00031,3.0
ID00032,2.0
ID00033,2.0
ID00034,3.0
ID00035,2.0
ID00036,2.0
ID00037,3.0
ID00038,2.0
ID00039,2.0
ID00040,2.0
ID00041,3.0
ID00042,2.0
ID00043,2.0
ID00044,2.0
ID00045,3.0
ID00046,3.0
ID00047,4.0
ID00048,3.0
ID00049,4.0
ID00050,2.0
ID00051,4.0
ID00052,4.0
ID00053,3.0
ID00054,3.0
ID00055,0.0
ID00056,2.0
ID00057,3.0
ID00058,2.0
ID00059,3.0
ID00060,3.0
ID00061,2.0
ID00062,3.0
ID00063,3.0
ID00064,3.0
ID00065,3.0
ID00066,4.0
ID00067,2.0
ID00068,2.0
ID00069,2.0
ID00070,2.0
ID00071,2.0
ID00072,3.0
ID00073,2.0
ID00074,3.0
ID00075,3.0
ID00076,3.0
ID00077,4.0
ID00078,3.0
ID00079,2.0
ID00080,4.0
ID00081,4.0
ID00082,2.0
ID00083,2.0
ID00084,3.0
ID00085,2.0
ID00086,2.0
ID00087,4.0
ID00088,2.0
ID00089,0.0
ID00090,4.0
ID00091,2.0
ID00092,3.0
ID00093,3.0
ID00094,2.0
ID00095,3.0
ID00096,3.0
ID00097,2.0
ID00098,3.0
ID00099,3.0
ID00100,3.0
ID00101,4.0
ID00102,2.0
ID00103,3.0
ID00104,2.0
ID00105,2.0
ID00106,2.0
ID00107,2.0
ID00108,3.0
ID00109,3.0
ID00110,2.0
ID00111,2.0
ID00112,2.0
ID00113,3.0
ID00114,3.0
ID00115,2.0
ID00116,3.0
ID00117,3.0
ID00118,2.0
ID00119,2.0
ID00120,2.0
ID00121,3.0
ID00122,2.0
ID00123,3.0
ID00124,2.0
ID00125,2.0
ID00126,3.0
ID00127,2.0
ID00128,2.0
ID00129,2.0
ID00130,2.0
ID00131,4.0
ID00132,1.0
ID00133,2.0
ID00134,2.0
ID00135,4.0
ID00136,3.0
ID00137,4.0
ID00138,3.0
ID00139,2.0
ID00140,4.0
ID00141,2.0
ID00142,4.0
ID00143,2.0
ID00144,2.0
ID00145,4.0
ID00146,3.0
ID00147,2.0
ID00148,2.0
ID00149,2.0
ID00150,3.0
ID00151,3.0
ID00152,2.0
ID00153,2.0
ID00154,3.0
ID00155,2.0
ID00156,2.0
ID00157,2.0
ID00158,3.0
ID00159,3.0
ID00160,3.0
ID00161,2.0
ID00162,3.0
ID00163,2.0
ID00164,2.0
ID00165,3.0
ID00166,4.0
ID00167,2.0
ID00168,2.0
ID00169,2.0
ID00170,3.0
ID00171,2.0
ID00172,2.0
ID00173,3.0
ID00174,3.0
ID00175,0.0
ID00176,3.0
ID00177,2.0
ID00178,3.0
ID00179,2.0
ID00180,4.0
ID00181,3.0
ID00182,2.0
ID00183,3.0
ID00184,3.0
ID00185,2.0
ID00186,3.0
ID00187,3.0
ID00188,3.0
ID00189,2.0
ID00190,2.0
ID00191,2.0
ID00192,2.0
ID00193,2.0
ID00194,2.0
ID00195,3.0
ID00196,3.0
ID00197,0.0
ID00198,3.0
ID00199,2.0
ID00200,3.0
ID00201,3.0
ID00202,2.0
ID00203,3.0
ID00204,2.0
ID00205,2.0
ID00206,2.0
ID00207,2.0
ID00208,2.0
ID00209,4.0
ID00210,2.0
ID00211,2.0
ID00212,2.0
ID00213,2.0
ID00214,3.0
ID00215,2.0
ID00216,2.0
ID00217,2.0
ID00218,2.0
ID00219,3.0
ID00220,3.0
ID00221,2.0
ID00222,2.0
ID00223,3.0
ID00224,2.0
ID00225,3.0
ID00226,4.0
ID00227,2.0
ID00228,3.0
ID00229,3.0
ID00230,4.0
ID00231,2.0
ID00232,2.0
ID00233,2.0
ID00234,2.0
ID00235,3.0
ID00236,4.0
ID00237,3.0
ID00238,3.0
ID00239,4.0
ID00240,2.0
ID00241,2.0
ID00242,2.0
ID00243,2.0
ID00244,2.0
ID00245,4.0
ID00246,2.0
ID00247,2.0
ID00248,3.0
ID00249,2.0
ID00250,2.0
ID00251,2.0
ID00252,2.0
ID00253,2.0
ID00254,3.0
ID00255,3.0
ID00256,3.0
ID00257,4.0
ID00258,3.0
ID00259,2.0
ID00260,3.0
ID00261,2.0
ID00262,3.0
ID00263,3.0
ID00264,2.0
ID00265,4.0
ID00266,2.0
ID00267,2.0
ID00268,3.0
ID00269,2.0
ID00270,4.0
ID00271,2.0
ID00272,4.0
ID00273,2.0
ID00274,3.0
ID00275,3.0
ID00276,2.0
ID00277,2.0
ID00278,2.0
ID00279,2.0
ID00280,2.0
ID00281,2.0
ID00282,2.0
ID00283,4.0
ID00284,2.0
ID00285,2.0
ID00286,2.0
ID00287,4.0
ID00288,3.0
ID00289,2.0
ID00290,2.0
ID00291,3.0
ID00292,0.0
ID00293,2.0
ID00294,3.0
ID00295,2.0
ID00296,2.0
ID00297,3.0
ID00298,2.0
ID00299,2.0
ID00300,2.0
ID00301,2.0
ID00302,2.0
ID00303,2.0
ID00304,3.0
ID00305,2.0
ID00306,3.0
ID00307,3.0
ID00308,3.0
ID00309,4.0
ID00310,2.0
ID00311,2.0
ID00312,3.0
ID00313,4.0
ID00314,4.0
ID00315,2.0
ID00316,2.0
ID00317,3.0
ID00318,2.0
ID00319,4.0
ID00320,2.0
ID00321,3.0
ID00322,3.0
ID00323,3.0
ID00324,3.0
ID00325,2.0
ID00326,3.0
ID00327,4.0
ID00328,3.0
ID00329,0.0
ID00330,2.0
ID00331,2.0
ID00332,2.0
ID00333,4.0
ID00334,2.0
ID00335,3.0
ID00336,3.0
ID00337,2.0
ID00338,3.0
ID00339,2.0
ID00340,3.0
ID00341,2.0
ID00342,2.0
ID00343,3.0
ID00344,3.0
ID00345,3.0
ID00346,4.0
ID00347,2.0
ID00348,3.0
ID00349,3.0
ID00350,2.0
ID00351,2.0
ID00352,2.0
ID00353,2.0
ID00354,3.0
ID00355,2.0
ID00356,2.0
ID00357,3.0
ID00358,2.0
ID00359,3.0
ID00360,3.0
ID00361,3.0
ID00362,2.0
ID00363,2.0
ID00364,2.0
ID00365,3.0
ID00366,3.0
ID00367,3.0
ID00368,3.0
ID00369,2.0
ID00370,2.0
ID00371,3.0
ID00372,4.0
ID00373,4.0
ID00374,2.0
ID00375,2.0
ID00376,2.0
ID00377,2.0
ID00378,4.0
